Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4577501735,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Coby White (37117010),Jordan Clarkson (37117090) (LOCKED),Amen Thompson (37117035) (LOCKED),Jalen Johnson (37116806) (LOCKED),Bobby Portis (37116985),Shai Gilgeous-Alexander (37116781),Jaime Jaquez Jr. (37117429) (LOCKED),Ryan Rollins (37117479),,1. Column A lists all of your contest entries for this draftgroup
4577501736,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Collin Sexton (37117064) (LOCKED),Jordan Clarkson (37117090) (LOCKED),Jayson Tatum (37116775) (LOCKED),Bobby Portis (37116985),Jonas Valanciunas (37117253),Ryan Rollins (37117479),Jalen Williams (37116847),Amen Thompson (37117035) (LOCKED),,2. Your current lineup is listed next to each entry (blank for reservations)
4577501737,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Ryan Rollins (37117479),Jordan Clarkson (37117090) (LOCKED),Isaiah Joe (37117556),Evan Mobley (37116872) (LOCKED),Alperen Sengun (37116820) (LOCKED),Shai Gilgeous-Alexander (37116781),Bobby Portis (37116985),Jonas Valanciunas (37117253),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
4577501738,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Jalen Brunson (37116842) (LOCKED),Khris Middleton (37117017),Lauri Markkanen (37116951) (LOCKED),Julius Randle (37116895) (LOCKED),Bobby Portis (37116985),Ryan Rollins (37117479),Larry Nance Jr. (37117242) (LOCKED),Ivica Zubac (37116899),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
4577501739,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Jalen Brunson (37116842) (LOCKED),Tyler Herro (37116885) (LOCKED),Amen Thompson (37117035) (LOCKED),Jaime Jaquez Jr. (37117429) (LOCKED),Zach Edey (37117176),Shai Gilgeous-Alexander (37116781),Bobby Portis (37116985),Ryan Rollins (37117479),,5. For faster processing only include entries you are changing in the file you upload
4577501740,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Collin Sexton (37117064) (LOCKED),Tyler Herro (37116885) (LOCKED),Jaime Jaquez Jr. (37117429) (LOCKED),Jaren Jackson Jr. (37116906),Walker Kessler (37116993) (LOCKED),Ryan Rollins (37117479),Bobby Portis (37116985),Shai Gilgeous-Alexander (37116781),,
4577501741,NBA $50K Four-Point Play [$10K to 1st],172131764,$4,Ryan Rollins (37117479),Collin Sexton (37117064) (LOCKED),Lauri Markkanen (37116951) (LOCKED),Jayson Tatum (37116775) (LOCKED),Goga Bitadze (37116981) (LOCKED),Malcolm Brogdon (37117137),Bobby Portis (37116985),Coby White (37117010),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,,,,,,,PG/SF,Nate Williams (37117953) (LOCKED),Nate Williams,37117953,PG/SF/F/G/UTIL,3000,In Progress,HOU,4.42
,,,,,,,,,,,,,C,Jock Landale (37117958) (LOCKED),Jock Landale,37117958,C/UTIL,3000,In Progress,HOU,9.42
,,,,,,,,,,,,,SF/PF,Jae'Sean Tate (37117960) (LOCKED),Jae'Sean Tate,37117960,SF/PF/F/UTIL,3000,In Progress,HOU,7
,,,,,,,,,,,,,PG/SG,Jevon Carter (37117683),Jevon Carter,37117683,PG/SG/G/UTIL,3000,MIL@CHI 12/23/2024 08:00PM ET,CHI,4.15
,,,,,,,,,,,,,PG,DJ Steward (37117687),DJ Steward,37117687,PG/G/UTIL,3000,MIL@CHI 12/23/2024 08:00PM ET,CHI,0
,,,,,,,,,,,,,SG,Chris Duarte (37117690),Chris Duarte,37117690,SG/G/UTIL,3000,MIL@CHI 12/23/2024 08:00PM ET,CHI,4.54
,,,,,,,,,,,,,C,Adama Sanogo (37117693),Adama Sanogo,37117693,C/UTIL,3000,MIL@CHI 12/23/2024 08:00PM ET,CHI,4.12
,,,,,,,,,,,,,C,E.J. Liddell (37117695),E.J. Liddell,37117695,C/UTIL,3000,MIL@CHI 12/23/2024 08:00PM ET,CHI,5.04
,,,,,,,,,,,,,SF,Dalen Terry (37117697),Dalen Terry,37117697,SF/F/UTIL,3000,MIL@CHI 12/23/2024 08:00PM ET,CHI,8.85
,,,,,,,,,,,,,PF,Torrey Craig (37117700),Torrey Craig,37117700,PF/F/UTIL,3000,MIL@CHI 12/23/2024 08:00PM ET,CHI,9.88
,,,,,,,,,,,,,SG,Stanley Umude (37117874),Stanley Umude,37117874,SG/G/UTIL,3000,MIL@CHI 12/23/2024 08:00PM ET,MIL,2.57
,,,,,,,,,,,,,SF/PF,Pat Connaughton (37117877),Pat Connaughton,37117877,SF/PF/F/UTIL,3000,MIL@CHI 12/23/2024 08:00PM ET,MIL,11.32
,,,,,,,,,,,,,SG,AJ Johnson (37117881),AJ Johnson,37117881,SG/G/UTIL,3000,MIL@CHI 12/23/2024 08:00PM ET,MIL,1.96
,,,,,,,,,,,,,PF,Tyler Smith (37117884),Tyler Smith,37117884,PF/F/UTIL,3000,MIL@CHI 12/23/2024 08:00PM ET,MIL,3.41
,,,,,,,,,,,,,SF,Chris Livingston (37117887),Chris Livingston,37117887,SF/F/UTIL,3000,MIL@CHI 12/23/2024 08:00PM ET,MIL,2.19
,,,,,,,,,,,,,PG/SF,Marjon Beauchamp (37117890),Marjon Beauchamp,37117890,PG/SF/F/G/UTIL,3000,MIL@CHI 12/23/2024 08:00PM ET,MIL,3.12
,,,,,,,,,,,,,C,Liam Robbins (37117895),Liam Robbins,37117895,C/UTIL,3000,MIL@CHI 12/23/2024 08:00PM ET,MIL,2.71
,,,,,,,,,,,,,PF/C,Kyle Filipowski (37117663) (LOCKED),Kyle Filipowski,37117663,PF/C/F/UTIL,3000,UTA@CLE 12/23/2024 07:00PM ET,UTA,16.07
,,,,,,,,,,,,,C,Tristan Thompson (37117802) (LOCKED),Tristan Thompson,37117802,C/UTIL,3000,UTA@CLE 12/23/2024 07:00PM ET,CLE,6.79
,,,,,,,,,,,,,PF,JT Thor (37117804) (LOCKED),JT Thor,37117804,PF/F/UTIL,3000,UTA@CLE 12/23/2024 07:00PM ET,CLE,9.31
,,,,,,,,,,,,,PG,Emoni Bates (37117807) (LOCKED),Emoni Bates,37117807,PG/G/UTIL,3000,UTA@CLE 12/23/2024 07:00PM ET,CLE,0
,,,,,,,,,,,,,PG,Craig Porter Jr. (37117810) (LOCKED),Craig Porter Jr.,37117810,PG/G/UTIL,3000,UTA@CLE 12/23/2024 07:00PM ET,CLE,6.78
,,,,,,,,,,,,,SF,Luke Travers (37117813) (LOCKED),Luke Travers,37117813,SF/F/UTIL,3000,UTA@CLE 12/23/2024 07:00PM ET,CLE,4.33
,,,,,,,,,,,,,C,Oscar Tshiebwe (37118004) (LOCKED),Oscar Tshiebwe,37118004,C/UTIL,3000,UTA@CLE 12/23/2024 07:00PM ET,UTA,17.75
,,,,,,,,,,,,,SF,Cody Williams (37118006) (LOCKED),Cody Williams,37118006,SF/F/UTIL,3000,UTA@CLE 12/23/2024 07:00PM ET,UTA,9.11
,,,,,,,,,,,,,PG,Patty Mills (37118009) (LOCKED),Patty Mills,37118009,PG/G/UTIL,3000,UTA@CLE 12/23/2024 07:00PM ET,UTA,8.56
,,,,,,,,,,,,,PG,Isaiah Collier (37118012) (LOCKED),Isaiah Collier,37118012,PG/G/UTIL,3000,UTA@CLE 12/23/2024 07:00PM ET,UTA,11.03
,,,,,,,,,,,,,C,Drew Eubanks (37118015) (LOCKED),Drew Eubanks,37118015,C/UTIL,3000,UTA@CLE 12/23/2024 07:00PM ET,UTA,12.28
,,,,,,,,,,,,,PF/C,Micah Potter (37118017) (LOCKED),Micah Potter,37118017,PF/C/F/UTIL,3000,UTA@CLE 12/23/2024 07:00PM ET,UTA,13.32
,,,,,,,,,,,,,SG/SF,David Jones Garcia (37118021) (LOCKED),David Jones Garcia,37118021,SG/SF/F/G/UTIL,3000,UTA@CLE 12/23/2024 07:00PM ET,UTA,0
,,,,,,,,,,,,,PF,Taylor Hendricks (37118026) (LOCKED),Taylor Hendricks,37118026,PF/F/UTIL,3000,UTA@CLE 12/23/2024 07:00PM ET,UTA,18.08
,,,,,,,,,,,,,PF/C,Jabari Walker (37117631),Jabari Walker,37117631,PF/C/F/UTIL,3000,POR@DAL 12/23/2024 08:30PM ET,POR,8.46
,,,,,,,,,,,,,PF/C,Markieff Morris (37117703),Markieff Morris,37117703,PF/C/F/UTIL,3000,POR@DAL 12/23/2024 08:30PM ET,DAL,3.94
,,,,,,,,,,,,,PG,Jazian Gortman (37117707),Jazian Gortman,37117707,PG/G/UTIL,3000,POR@DAL 12/23/2024 08:30PM ET,DAL,2.28
,,,,,,,,,,,,,C,Dwight Powell (37117710),Dwight Powell,37117710,C/UTIL,3000,POR@DAL 12/23/2024 08:30PM ET,DAL,5.57
,,,,,,,,,,,,,SG/SF,Kessler Edwards (37117712),Kessler Edwards,37117712,SG/SF/F/G/UTIL,3000,POR@DAL 12/23/2024 08:30PM ET,DAL,0.09
,,,,,,,,,,,,,SF/PF,Olivier-Maxence Prosper (37117717),Olivier-Maxence Prosper,37117717,SF/PF/F/UTIL,3000,POR@DAL 12/23/2024 08:30PM ET,DAL,5.07
,,,,,,,,,,,,,PG,Brandon Williams (37117721),Brandon Williams,37117721,PG/G/UTIL,3000,POR@DAL 12/23/2024 08:30PM ET,DAL,2.6
,,,,,,,,,,,,,SF,Dante Exum (37117724),Dante Exum,37117724,SF/F/UTIL,3000,POR@DAL 12/23/2024 08:30PM ET,DAL,0
,,,,,,,,,,,,,SG/SF,Rayan Rupert (37117897),Rayan Rupert,37117897,SG/SF/F/G/UTIL,3000,POR@DAL 12/23/2024 08:30PM ET,POR,6.75
,,,,,,,,,,,,,SF,Kris Murray (37117902),Kris Murray,37117902,SF/F/UTIL,3000,POR@DAL 12/23/2024 08:30PM ET,POR,9.19
,,,,,,,,,,,,,PF,Justin Minaya (37117905),Justin Minaya,37117905,PF/F/UTIL,3000,POR@DAL 12/23/2024 08:30PM ET,POR,1.25
,,,,,,,,,,,,,C,Duop Reath (37117908),Duop Reath,37117908,C/UTIL,3000,POR@DAL 12/23/2024 08:30PM ET,POR,4.27
,,,,,,,,,,,,,SG,Bryce McGowens (37117910),Bryce McGowens,37117910,SG/G/UTIL,3000,POR@DAL 12/23/2024 08:30PM ET,POR,3.5
,,,,,,,,,,,,,SG,Taze Moore (37117913),Taze Moore,37117913,SG/G/UTIL,3000,POR@DAL 12/23/2024 08:30PM ET,POR,10.5
,,,,,,,,,,,,,PF,Matisse Thybulle (37117916),Matisse Thybulle,37117916,PF/F/UTIL,3000,POR@DAL 12/23/2024 08:30PM ET,POR,0
,,,,,,,,,,,,,PG,Bones Hyland (37117672),Bones Hyland,37117672,PG/G/UTIL,3000,LAC@MEM 12/23/2024 08:00PM ET,LAC,14.10
,,,,,,,,,,,,,PG,Yuki Kawamura (37117748),Yuki Kawamura,37117748,PG/G/UTIL,3000,LAC@MEM 12/23/2024 08:00PM ET,MEM,2.11
,,,,,,,,,,,,,C,Colin Castleton (37117751),Colin Castleton,37117751,C/UTIL,3000,LAC@MEM 12/23/2024 08:00PM ET,MEM,2.59
,,,,,,,,,,,,,SG,Cam Spencer (37117753),Cam Spencer,37117753,SG/G/UTIL,3000,LAC@MEM 12/23/2024 08:00PM ET,MEM,8.85
,,,,,,,,,,,,,C,Jay Huff (37117756),Jay Huff,37117756,C/UTIL,3000,LAC@MEM 12/23/2024 08:00PM ET,MEM,17.31
,,,,,,,,,,,,,PF,Gregory Jackson (37117758),Gregory Jackson,37117758,PF/F/UTIL,3000,LAC@MEM 12/23/2024 08:00PM ET,MEM,0
,,,,,,,,,,,,,SG,Cam Christie (37117931),Cam Christie,37117931,SG/G/UTIL,3000,LAC@MEM 12/23/2024 08:00PM ET,LAC,12.75
,,,,,,,,,,,,,PF/C,Kai Jones (37117934),Kai Jones,37117934,PF/C/F/UTIL,3000,LAC@MEM 12/23/2024 08:00PM ET,LAC,5.98
,,,,,,,,,,,,,SG/SF,Jordan Miller (37117938),Jordan Miller,37117938,SG/SF/F/G/UTIL,3000,LAC@MEM 12/23/2024 08:00PM ET,LAC,11.10
,,,,,,,,,,,,,SG,Trentyn Flowers (37117943),Trentyn Flowers,37117943,SG/G/UTIL,3000,LAC@MEM 12/23/2024 08:00PM ET,LAC,13.5
,,,,,,,,,,,,,PF/C,Kobe Brown (37117946),Kobe Brown,37117946,PF/C/F/UTIL,3000,LAC@MEM 12/23/2024 08:00PM ET,LAC,6.93
,,,,,,,,,,,,,PF,P.J. Tucker (37117950),P.J. Tucker,37117950,PF/F/UTIL,3000,LAC@MEM 12/23/2024 08:00PM ET,LAC,0
,,,,,,,,,,,,,C,Kel'el Ware (37117670) (LOCKED),Kel'el Ware,37117670,C/UTIL,3000,BKN@MIA 12/23/2024 07:30PM ET,MIA,7.39
,,,,,,,,,,,,,SF,Keshad Johnson (37117830) (LOCKED),Keshad Johnson,37117830,SF/F/UTIL,3000,BKN@MIA 12/23/2024 07:30PM ET,MIA,2.25
,,,,,,,,,,,,,PG/SG,Alec Burks (37117833) (LOCKED),Alec Burks,37117833,PG/SG/G/UTIL,3000,BKN@MIA 12/23/2024 07:30PM ET,MIA,11.69
,,,,,,,,,,,,,PG,Josh Christopher (37117837) (LOCKED),Josh Christopher,37117837,PG/G/UTIL,3000,BKN@MIA 12/23/2024 07:30PM ET,MIA,0
,,,,,,,,,,,,,PG,Josh Richardson (37117840) (LOCKED),Josh Richardson,37117840,PG/G/UTIL,3000,BKN@MIA 12/23/2024 07:30PM ET,MIA,10.25
,,,,,,,,,,,,,SG,Dariq Whitehead (37118057) (LOCKED),Dariq Whitehead,37118057,SG/G/UTIL,3000,BKN@MIA 12/23/2024 07:30PM ET,BKN,10.25
,,,,,,,,,,,,,SF,Jaylen Martin (37118060) (LOCKED),Jaylen Martin,37118060,SF/F/UTIL,3000,BKN@MIA 12/23/2024 07:30PM ET,BKN,1.75
,,,,,,,,,,,,,PG,Reece Beekman (37118063) (LOCKED),Reece Beekman,37118063,PG/G/UTIL,3000,BKN@MIA 12/23/2024 07:30PM ET,BKN,2.08
,,,,,,,,,,,,,PG,De'Anthony Melton (37118066) (LOCKED),De'Anthony Melton,37118066,PG/G/UTIL,3000,BKN@MIA 12/23/2024 07:30PM ET,BKN,22.25
,,,,,,,,,,,,,PF,Drew Peterson (37117675) (LOCKED),Drew Peterson,37117675,PF/F/UTIL,3000,In Progress,BOS,7.79
,,,,,,,,,,,,,SG/SF,Jordan Walsh (37117678) (LOCKED),Jordan Walsh,37117678,SG/SF/F/G/UTIL,3000,In Progress,BOS,4.1
,,,,,,,,,,,,,SF/PF,Jett Howard (37117773) (LOCKED),Jett Howard,37117773,SF/PF/F/UTIL,3000,In Progress,ORL,7.30
,,,,,,,,,,,,,SF/PF,Caleb Houstan (37117777) (LOCKED),Caleb Houstan,37117777,SF/PF/F/UTIL,3000,In Progress,ORL,2.36
,,,,,,,,,,,,,PG,Mac McClung (37117781) (LOCKED),Mac McClung,37117781,PG/G/UTIL,3000,In Progress,ORL,4.25
,,,,,,,,,,,,,SG/SF,Baylor Scheierman (37117964) (LOCKED),Baylor Scheierman,37117964,SG/SF/F/G/UTIL,3000,In Progress,BOS,3.55
,,,,,,,,,,,,,SF,Anton Watson (37117969) (LOCKED),Anton Watson,37117969,SF/F/UTIL,3000,In Progress,BOS,0
,,,,,,,,,,,,,PG,JD Davison (37117972) (LOCKED),JD Davison,37117972,PG/G/UTIL,3000,In Progress,BOS,1.9
,,,,,,,,,,,,,SG/SF,Jaden Springer (37117975) (LOCKED),Jaden Springer,37117975,SG/SF/F/G/UTIL,3000,In Progress,BOS,3.5
,,,,,,,,,,,,,PF/C,Xavier Tillman (37117980) (LOCKED),Xavier Tillman,37117980,PF/C/F/UTIL,3000,In Progress,BOS,4.60
,,,,,,,,,,,,,PF/C,Sandro Mamukelashvili (37117656) (LOCKED),Sandro Mamukelashvili,37117656,PF/C/F/UTIL,3000,In Progress,SAS,9.36
,,,,,,,,,,,,,PF/C,Pete Nance (37117784) (LOCKED),Pete Nance,37117784,PF/C/F/UTIL,3000,In Progress,PHI,0
,,,,,,,,,,,,,PG,Reggie Jackson (37117788) (LOCKED),Reggie Jackson,37117788,PG/G/UTIL,3000,In Progress,PHI,10.07
,,,,,,,,,,,,,SF,Justin Edwards (37117791) (LOCKED),Justin Edwards,37117791,SF/F/UTIL,3000,In Progress,PHI,4
,,,,,,,,,,,,,PG,Jeff Dowtin (37117794) (LOCKED),Jeff Dowtin,37117794,PG/G/UTIL,3000,In Progress,PHI,6.44
,,,,,,,,,,,,,C,Adem Bona (37117797) (LOCKED),Adem Bona,37117797,C/UTIL,3000,In Progress,PHI,4.55
,,,,,,,,,,,,,PG,Jared McCain (37117799) (LOCKED),Jared McCain,37117799,PG/G/UTIL,3000,In Progress,PHI,23.94
,,,,,,,,,,,,,PF,Riley Minix (37117984) (LOCKED),Riley Minix,37117984,PF/F/UTIL,3000,In Progress,SAS,2.5
,,,,,,,,,,,,,PG/SG,Blake Wesley (37117987) (LOCKED),Blake Wesley,37117987,PG/SG/G/UTIL,3000,In Progress,SAS,8.49
,,,,,,,,,,,,,PF,Harrison Ingram (37117991) (LOCKED),Harrison Ingram,37117991,PF/F/UTIL,3000,In Progress,SAS,1.25
,,,,,,,,,,,,,SG,Sidy Cissoko (37117994) (LOCKED),Sidy Cissoko,37117994,SG/G/UTIL,3000,In Progress,SAS,2.62
,,,,,,,,,,,,,SG,David Duke Jr. (37117997) (LOCKED),David Duke Jr.,37117997,SG/G/UTIL,3000,In Progress,SAS,6
,,,,,,,,,,,,,PG/SG,Malaki Branham (37118000) (LOCKED),Malaki Branham,37118000,PG/SG/G/UTIL,3000,In Progress,SAS,10.10
,,,,,,,,,,,,,C,Tristan Vukcevic (37117629),Tristan Vukcevic,37117629,C/UTIL,3000,WAS@OKC 12/23/2024 08:00PM ET,WAS,0
,,,,,,,,,,,,,PG,Jared Butler (37117635),Jared Butler,37117635,PG/G/UTIL,3000,WAS@OKC 12/23/2024 08:00PM ET,WAS,11.70
,,,,,,,,,,,,,C,Marvin Bagley III (37117645),Marvin Bagley III,37117645,C/UTIL,3000,WAS@OKC 12/23/2024 08:00PM ET,WAS,9.75
,,,,,,,,,,,,,C,Branden Carlson (37117727),Branden Carlson,37117727,C/UTIL,3000,WAS@OKC 12/23/2024 08:00PM ET,OKC,3.71
,,,,,,,,,,,,,PF,Dillon Jones (37117729),Dillon Jones,37117729,PF/F/UTIL,3000,WAS@OKC 12/23/2024 08:00PM ET,OKC,6.11
,,,,,,,,,,,,,PG,Ajay Mitchell (37117732),Ajay Mitchell,37117732,PG/G/UTIL,3000,WAS@OKC 12/23/2024 08:00PM ET,OKC,11.29
,,,,,,,,,,,,,C,Ousmane Dieng (37117735),Ousmane Dieng,37117735,C/UTIL,3000,WAS@OKC 12/23/2024 08:00PM ET,OKC,10.03
,,,,,,,,,,,,,PG,Adam Flagler (37117737),Adam Flagler,37117737,PG/G/UTIL,3000,WAS@OKC 12/23/2024 08:00PM ET,OKC,2.64
,,,,,,,,,,,,,SG,Alex Ducas (37117740),Alex Ducas,37117740,SG/G/UTIL,3000,WAS@OKC 12/23/2024 08:00PM ET,OKC,0
,,,,,,,,,,,,,PG,Nikola Topic (37117743),Nikola Topic,37117743,PG/G/UTIL,3000,WAS@OKC 12/23/2024 08:00PM ET,OKC,0
,,,,,,,,,,,,,C,Jaylin Williams (37117746),Jaylin Williams,37117746,C/UTIL,3000,WAS@OKC 12/23/2024 08:00PM ET,OKC,0
,,,,,,,,,,,,,SG/SF,Johnny Davis (37117919),Johnny Davis,37117919,SG/SF/F/G/UTIL,3000,WAS@OKC 12/23/2024 08:00PM ET,WAS,8.14
,,,,,,,,,,,,,C,Anthony Gill (37117924),Anthony Gill,37117924,C/UTIL,3000,WAS@OKC 12/23/2024 08:00PM ET,WAS,5.25
,,,,,,,,,,,,,C,Richaun Holmes (37117926),Richaun Holmes,37117926,C/UTIL,3000,WAS@OKC 12/23/2024 08:00PM ET,WAS,7.08
,,,,,,,,,,,,,PF,Patrick Baldwin Jr. (37117928),Patrick Baldwin Jr.,37117928,PF/F/UTIL,3000,WAS@OKC 12/23/2024 08:00PM ET,WAS,4.25
,,,,,,,,,,,,,SG,Garrett Temple (37117642) (LOCKED),Garrett Temple,37117642,SG/G/UTIL,3000,TOR@NYK 12/23/2024 07:30PM ET,TOR,3
,,,,,,,,,,,,,PG,Boo Buie (37117843) (LOCKED),Boo Buie,37117843,PG/G/UTIL,3000,TOR@NYK 12/23/2024 07:30PM ET,NYK,0
,,,,,,,,,,,,,SG/SF,Matt Ryan (37117846) (LOCKED),Matt Ryan,37117846,SG/SF/F/G/UTIL,3000,TOR@NYK 12/23/2024 07:30PM ET,NYK,2.17
,,,,,,,,,,,,,C,Jericho Sims (37117851) (LOCKED),Jericho Sims,37117851,C/UTIL,3000,TOR@NYK 12/23/2024 07:30PM ET,NYK,8.57
,,,,,,,,,,,,,SG/SF,Pacome Dadiet (37117853) (LOCKED),Pacome Dadiet,37117853,SG/SF/F/G/UTIL,3000,TOR@NYK 12/23/2024 07:30PM ET,NYK,4.23
,,,,,,,,,,,,,SF/PF,Jacob Toppin (37117858) (LOCKED),Jacob Toppin,37117858,SF/PF/F/UTIL,3000,TOR@NYK 12/23/2024 07:30PM ET,NYK,1.18
,,,,,,,,,,,,,PG,Tyler Kolek (37117862) (LOCKED),Tyler Kolek,37117862,PG/G/UTIL,3000,TOR@NYK 12/23/2024 07:30PM ET,NYK,5.47
,,,,,,,,,,,,,PG/SG,Cameron Payne (37117865) (LOCKED),Cameron Payne,37117865,PG/SG/G/UTIL,3000,TOR@NYK 12/23/2024 07:30PM ET,NYK,16.78
,,,,,,,,,,,,,C,Ariel Hukporti (37117869) (LOCKED),Ariel Hukporti,37117869,C/UTIL,3000,TOR@NYK 12/23/2024 07:30PM ET,NYK,5.79
,,,,,,,,,,,,,SF,Kevin McCullar Jr. (37117871) (LOCKED),Kevin McCullar Jr.,37117871,SF/F/UTIL,3000,TOR@NYK 12/23/2024 07:30PM ET,NYK,0
,,,,,,,,,,,,,C,Ulrich Chomche (37118069) (LOCKED),Ulrich Chomche,37118069,C/UTIL,3000,TOR@NYK 12/23/2024 07:30PM ET,TOR,3.25
,,,,,,,,,,,,,SF,Jamison Battle (37118071) (LOCKED),Jamison Battle,37118071,SF/F/UTIL,3000,TOR@NYK 12/23/2024 07:30PM ET,TOR,11.02
,,,,,,,,,,,,,PG,AJ Lawson (37118074) (LOCKED),AJ Lawson,37118074,PG/G/UTIL,3000,TOR@NYK 12/23/2024 07:30PM ET,TOR,0
